name,nation,foldered,rank,role,mainArm,main_arm_diameter,purchase_type,is_premium,is_reserve,br_ab,br_rb,br_sb,repair_ab,repair_rb,repair_sb,sl_mod_ab,sl_mod_rb,sl_mod_sb,rp_mod_ab,rp_mod_rb,rp_mod_sb,main_reload_base,main_reload_upgraded,forward_ab,forward_rbsb,reverse_ab,reverse_rbsb,stabilizer,can_float,smoke_grenade,ess,night_vision,revers_gear,rangefinder,dozer,autoloader,era_armor,thermal_vision,laser_rangefinder,hydro_suspension,composite_armor,lwr
M2A4,USA,False,1,Light,M5 (37mm),37,Tech Tree,False,True,1,1,1,0,0,0,10,10,10,100,100,100,3.7,2.9,64,58,8,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M3 Stuart,USA,False,1,Light,M5 (37mm),37,Tech Tree,False,False,1.7,2,2,100,87,114,10,10,10,100,100,100,3.7,2.9,56,51,7,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M3A1 Stuart,USA,False,1,Light,M6 (37mm),37,Tech Tree,False,False,2,2.3,2.3,249,294,368,20,20,20,106,106,106,3.7,2.9,65,59,8,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M2,USA,False,1,Medium,M3 (37mm),37,Tech Tree,False,False,1.3,1.3,1.3,132,110,120,10,10,20,100,100,100,3.7,2.9,60,54,8,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LVT(A)(1),USA,False,1,Light,M6 (37mm),37,Tech Tree,False,True,1,1,1,0,0,0,10,10,10,100,100,100,3.7,2.9,45,40,6,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
M22,USA,False,1,Light,M6 (37mm),37,Tech Tree,False,False,1.7,2,2,179,198,252,10,20,20,100,100,100,3.7,2.9,63,57,12,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M13 MGMC,USA,False,1,SPAA,2x 12.7mm M2HB machine gun,12.7,Tech Tree,False,False,1.3,1.7,1.7,102,91,140,10,10,20,100,100,100,10.4,8,80,73,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M15 CGMC,USA,False,1,SPAA,37mm M1A2 cannon,37,Tech Tree,False,False,2,1.7,1.7,222,195,276,20,20,20,100,100,100,2.6,2,80,73,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M2A2,USA,False,1,Light,12.7mm M2HB machine gun,12.7,Tech Tree,False,False,1,1,1,106,95,111,10,10,20,100,100,100,10.4,8,81,73,10,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M8 Scott,USA,False,1,Tank destroyer,M2 Howitzer (75mm),75,Tech Tree,False,False,1.3,1.3,1.3,200,219,253,20,20,30,100,100,100,4.3,3.3,70,64,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M3 GMC,USA,False,1,Tank destroyer,M1897A4 (75mm),75,Tech Tree,False,False,1.7,1.7,1.7,298,332,400,20,30,40,106,106,106,7.8,6,80,73,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M2A4 (1st Arm.Div.),USA,False,1,Light,M5 (37mm),37,GE,True,False,1,1,1,322,172,91,40,40,40,150,150,150,3.7,2.9,64,58,8,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LVT(A)(4),USA,False,1,Light,M2 Howitzer (75mm),75,Gift,True,False,1.3,1.3,1.3,410,218,1000,40,40,100,200,200,200,4.3,3.3,45,40,6,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
M3A1 (USMC),USA,False,1,Light,M6 (37mm),37,Pack,True,False,2,2.3,2.3,471,329,343,40,40,40,200,200,200,3.7,2.9,65,59,8,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
